-2.000000000,-11.107015128
-1.951515152,-10.505524015
-1.903030303,-9.927422992
-1.854545455,-9.371670758
-1.806060606,-8.837276679
-1.757575758,-8.323298242
-1.709090909,-7.828838625
-1.660606061,-7.353044394
-1.612121212,-6.895103311
-1.563636364,-6.454242252
-1.515151515,-6.029725233
-1.466666667,-5.620851524
-1.418181818,-5.226953875
-1.369696970,-4.847396814
-1.321212121,-4.481575046
-1.272727273,-4.128911923
-1.224242424,-3.788858000
-1.175757576,-3.460889658
-1.127272727,-3.144507806
-1.078787879,-2.839236639
-1.030303030,-2.544622470
-0.981818182,-2.260232619
-0.933333333,-1.985654354
-0.884848485,-1.720493896
-0.836363636,-1.464375469
-0.787878788,-1.216940404
-0.739393939,-0.977846284
-0.690909091,-0.746766139
-0.642424242,-0.523387677
-0.593939394,-0.307412563
-0.545454545,-0.098555728
-0.496969697,0.103455283
-0.448484848,0.298880928
-0.400000000,0.487970257
-0.351515152,0.670961464
-0.303030303,0.848082415
-0.254545455,1.019551151
-0.206060606,1.185576358
-0.157575758,1.346357815
-0.109090909,1.502086827
-0.060606061,1.652946622
-0.012121212,1.799112736
0.036363636,1.940753380
0.084848485,2.078029783
0.133333333,2.211096516
0.181818182,2.340101809
0.230303030,2.465187843
0.278787879,2.586491027
0.327272727,2.704142271
0.375757576,2.818267230
0.424242424,2.928986551
0.472727273,3.036416096
0.521212121,3.140667160
0.569696970,3.241846675
0.618181818,3.340057411
0.666666667,3.435398153
0.715151515,3.527963883
0.763636364,3.617845948
0.812121212,3.705132218
0.860606061,3.789907236
0.909090909,3.872252367
0.957575758,3.952245931
1.006060606,4.029963338
1.054545455,4.105477209
1.103030303,4.178857496
1.151515152,4.250171594
1.200000000,4.319484450
1.248484848,4.386858666
1.296969697,4.452354594
1.345454545,4.516030432
1.393939394,4.577942308
1.442424242,4.638144372
1.490909091,4.696688870
1.539393939,4.753626225
1.587878788,4.809005109
1.636363636,4.862872512
1.684848485,4.915273811
1.733333333,4.966252833
1.781818182,5.015851917
1.830303030,5.064111969
1.878787879,5.111072522
1.927272727,5.156771788
1.975757576,5.201246707
2.024242424,5.244532996
2.072727273,5.286665198
2.121212121,5.327676726
2.169696970,5.367599901
2.218181818,5.406465999
2.266666667,5.444305287
2.315151515,5.481147061
2.363636364,5.517019681
2.412121212,5.551950604
2.460606061,5.585966422
2.509090909,5.619092887
2.557575758,5.651354947
2.606060606,5.682776769
2.654545455,5.713381771
2.703030303,5.743192649
2.751515152,5.772231398
2.800000000,5.800519343
