3.582701759633308477e-06 5.336034444023182027e-02
2.076338652659390536e-05 2.134797183560129263e-01
5.006192819933043302e-05 3.507392820313092185e-01
9.693880774986540696e-05 4.635884062002820216e-01
1.689957693083406274e-04 5.553442348681807417e-01
2.878166735591886050e-04 6.360671429528462761e-01
4.483100415268698288e-04 6.951548407835553833e-01
6.800449477756746568e-04 7.439469591198629717e-01
1.011381785876510134e-03 7.844042630064198551e-01
1.481572956623282335e-03 8.180861521235385236e-01
2.144888226685512118e-03 8.462306418891316628e-01
3.076290780552646143e-03 8.698243236779643617e-01
4.379245338152560132e-03 8.896582834487420932e-01
6.236335810038340192e-03 9.068356267972111917e-01
8.771551248226858166e-03 9.208402750971123041e-01
1.228995924029457551e-02 9.326953589427069424e-01
1.716501736857845017e-02 9.427434771134696190e-01
2.391081500207375976e-02 9.512690563729119253e-01
3.323481897156971288e-02 9.585091998843945360e-01
4.611036529385834776e-02 9.646622665927533369e-01
6.387628342136315862e-02 9.698947109211609741e-01
8.850640625910344284e-02 9.744180545859975062e-01
1.222901287298217149e-01 9.781945437970084312e-01
1.688219293812933119e-01 9.814108616071990365e-01
2.328875514491566268e-01 9.841508506112660593e-01
3.210652064288749830e-01 9.864855924508036944e-01
4.423962323302543242e-01 9.884754099583386022e-01
6.093065644893242983e-01 9.901715382678892841e-01
8.388727964990353447e-01 9.916175243346007084e-01
1.154561668017012543e+00 9.928504023692840130e-01
