2.550000000,1.000000000
2.560000000,1.069742017
2.570000000,1.146837188
2.580000000,1.232455095
2.590000000,1.328027314
2.600000000,1.435325259
2.610000000,1.556567572
2.620000000,1.694571006
2.630000000,1.852966857
2.640000000,2.036518782
2.650000000,2.251602090
2.660000000,2.506949148
2.670000000,2.814850843
2.680000000,3.193176718
2.690000000,3.668948031
2.700000000,4.285061370
2.710000000,5.113962524
2.720000000,6.288397939
2.730000000,8.080669843
2.740000000,11.151484661
2.750000000,17.626495344
